,Unnamed: 0,time,x,y,handlabeller_final,source,velocity,unique_saccade_number,norm_time,event_number,start_time,end_time,x_norm,y_norm,velocity_norm,x_norm_up,x_z_trans,velocity_z_trans
0,116388,17324,23.5578149771,21.3384067557,2,./gazecom_small/all_features\beach\JSH_beach.arff,20.0774314477,69,0,6,4302,4307,-1.1574538573166713,-0.07703625779999967,-72.3139988915,-1.1574538573166713,-1.501343583263842,-1.0080905627275005
1,116389,17328,23.882513253899997,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,81.22499293359999,69,4,6,4302,4307,-0.8327555805166753,-0.08849619699999778,-11.166437405600007,-0.8327555805166753,-1.0801745912656315,-0.15566529773526155
2,116390,17332,24.5777495642,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,173.80907758360001,69,8,6,4302,4307,-0.13751927021667143,-0.08849619699999778,81.41764724440002,-0.13751927021667143,-0.17837745548972905,1.1349996277996437
3,116391,17336,25.3684853678,21.304026938099998,2,./gazecom_small/all_features\beach\JSH_beach.arff,197.7668444382,69,12,6,4302,4307,0.6532165333833291,-0.11141607540000109,105.375414099,0.6532165333833291,0.8472929133870519,1.4689819692600439
4,116392,17340,25.441064982600004,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,75.7402660414,69,16,6,4302,4307,0.7257961481833313,0.18272236359999994,-16.651164297799994,0.7257961481833313,0.9414365704036378,-0.23212492524750036
5,116393,17344,25.463984860900002,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,5.729969590700001,69,20,6,4302,4307,0.7487160264833292,0.18272236359999994,-86.6614607485,0.7487160264833292,0.971166146228513,-1.208100811349425
6,123106,4128,17.3809077584,13.774846896,2,./gazecom_small/all_features\beach\KKB_beach.arff,192.33597926009998,73,0,0,1002,1007,-2.363294124500001,-0.3902745954333344,21.344709722149986,-2.363294124500001,-1.89844234480738,0.13276458087291543
7,123107,4132,18.7904802777,14.0804452741,2,./gazecom_small/all_features\beach\KKB_beach.arff,360.5797283794,73,4,0,1002,1007,-0.9537216052000019,-0.08467621733333353,189.58845884145003,-0.9537216052000019,-0.7661278643649196,1.1792445343169446
8,123108,4136,20.3834118239,14.256164341600002,2,./gazecom_small/all_features\beach\KKB_beach.arff,400.64711373910006,73,8,0,1002,1007,0.6392099410000007,0.09104285016666758,229.65584420115007,0.6392099410000007,0.513479556622251,1.4284645843059098
9,123109,4140,20.5820507697,14.290544159100001,2,./gazecom_small/all_features\beach\KKB_beach.arff,50.3981385337,73,12,0,1002,1007,0.8378488867999998,0.1254226676666672,-120.59313100424998,0.8378488867999998,0.6730469088723227,-0.750092022910826
10,123110,4144,20.666090323699997,14.2943641389,2,./gazecom_small/all_features\beach\KKB_beach.arff,21.0316623836,73,16,0,1002,1007,0.9218884407999965,0.12924264746666658,-149.95960715434998,0.9218884407999965,0.7405561732919914,-0.9327521737648139
11,123111,4148,20.662270344,14.2943641389,2,./gazecom_small/all_features\beach\KKB_beach.arff,0.9549949318,73,20,0,1002,1007,0.918068461099999,0.12924264746666658,-170.03627460615,0.918068461099999,0.7374875703857348,-1.0576295028201304
12,124759,10740,18.3053428523,21.556145600100002,2,./gazecom_small/all_features\beach\KKB_beach.arff,36.3024133407,74,0,1,2655,2660,-1.4025692231666653,-0.26294193788332976,-61.4545605232,-1.4025692231666653,-1.6890710385418646,-0.7593133052560844
13,124760,10744,18.9050796695,21.6516450933,2,./gazecom_small/all_features\beach\KKB_beach.arff,151.8231842642,74,4,1,2655,2660,-0.8028324059666652,-0.16744244468333136,54.066210400299994,-0.8028324059666652,-0.9668264092231859,0.668025164808143
14,124761,10748,19.7836750067,21.877023897199997,2,./gazecom_small/all_features\beach\KKB_beach.arff,226.760490567,74,8,1,2655,2660,0.075762931233335,0.05793635921666507,129.0035167031,0.075762931233335,0.09123897118770265,1.59392705477912
15,124762,10752,20.345212026600002,21.9534234917,2,./gazecom_small/all_features\beach\KKB_beach.arff,141.67770010700002,74,12,1,2655,2660,0.6372999511333362,0.1343359537166684,43.92072624310002,0.6372999511333362,0.7674807578431706,0.5426707396321867
16,124763,10756,20.4559914387,21.9419635525,2,./gazecom_small/all_features\beach\KKB_beach.arff,27.842686237,74,16,1,2655,2660,0.7480793632333338,0.12287601451666674,-69.9142876269,0.7480793632333338,0.9008890014821838,-0.8638390441758175
17,124764,10760,20.452171459000002,21.9343235931,2,./gazecom_small/all_features\beach\KKB_beach.arff,2.1353686675,74,20,1,2655,2660,0.7442593835333362,0.11523605511666801,-95.6216051964,0.7442593835333362,0.8962887172519935,-1.1814706097875478
18,137637,795,26.919397136999997,19.2679777436,2,./gazecom_small/all_features\beach\KKW_beach.arff,19.1950161308,80,0,0,170,175,1.1695504598166657,-0.07512626795000088,-69.42240157068335,-1.1695504598166657,-1.440738228612418,-0.9510798444970782
19,137638,799,26.6328986574,19.260337784100003,2,./gazecom_small/all_features\beach\KKW_beach.arff,71.6502137475,80,4,0,170,175,0.883051980216667,-0.08276622744999784,-16.967203953983343,-0.883051980216667,-1.0878083412916453,-0.23244896939605875
20,137639,803,25.968222184899997,19.3138175003,2,./gazecom_small/all_features\beach\KKW_beach.arff,166.7062072791,80,8,0,170,175,0.21837550771666514,-0.02928651124999959,78.08878957761665,-0.21837550771666514,-0.26901100291932944,1.069808479224492
21,137640,807,25.154566503,19.3825771354,2,./gazecom_small/all_features\beach\KKW_beach.arff,204.138952621,80,12,0,170,175,-0.5952801741833298,0.039473123849997904,115.52153491951664,0.5952801741833298,0.7333098768696356,1.582633285243696
22,137641,811,24.902447841100003,19.4245969124,2,./gazecom_small/all_features\beach\KKW_beach.arff,63.8990928833,80,16,0,170,175,-0.8473988360833289,0.08149290084999805,-24.718324818183348,0.8473988360833289,1.0438881775295983,-0.3386385373080182
23,137642,815,24.9215477397,19.4093169935,2,./gazecom_small/all_features\beach\KKW_beach.arff,6.1150235472,80,20,0,170,175,-0.828298937483332,0.0662129819499988,-82.50239415428335,0.828298937483332,1.020359518424159,-1.1302744132670328
